Question ID,Question Text,Review,Score,Score Binary,Score Combined
Q1,Two teams play a series of games (best of 7),Basic probability question with limited relevance to product analytics,2,0,2
Q2,Say you roll a die three times,Basic probability calculation unrelated to job requirements,1,0,1
Q3,You roll three dice one after another,Elementary probability question not aligned with role needs,1,0,1
Q4,Assume you have a deck of 100 cards,Basic probability calculation without job relevance,1,0,1
Q5,Imagine you are in a 3D space,Mathematical combinatorics problem unrelated to role,1,0,1
Q6,One in a thousand people have a disease,Tests Bayesian probability understanding relevant to user analytics,3,1,5
Q7,Assume two coins one fair and one unfair,Tests Bayesian concepts applicable to user behavior analysis,3,0,3
Q8,Players A and B are playing a game,Basic probability question without job context,1,0,1
Q9,Three friends in Seattle each told you,Conditional probability relevant to data analysis,3,1,5
Q10,You draw a circle and choose two chords,Geometric probability unrelated to job requirements,1,0,1
Q11,You and your friend are playing a game,Basic probability sequence without job relevance,1,0,1
Q12,Say you are playing a game where you roll,Expected value calculation with minimal job relevance,2,0,2
Q13,Facebook has a content team that labels,Relevant application of Bayesian probability to content analysis,4,1,6
Q14,A couple has two children,Elementary probability without job context,1,0,1
Q15,A desk has eight drawers,Basic conditional probability without job relevance,1,0,1
Q16,Two players are playing in a tennis match,Markov chain probability without direct job application,2,0,2
Q17,Say you have a deck of 50 cards,Basic probability calculation unrelated to role,1,0,1
Q18,Suppose you have ten fair dice,Complex probability without practical application,2,0,2
Q19,A and B play the following game,Game theory probability without job context,1,0,1
Q20,You are given an unfair coin,Practical probability application to bias correction,3,1,5
Q21,Suppose you are given a white cube,Geometric probability without job relevance,1,0,1
Q22,Assume you take a stick of length 1,Geometric probability unrelated to role,1,0,1
Q23,What is the probability that HHT shows up,Sequential probability without job context,1,0,1
Q24,A fair coin is tossed twice,Conditional probability with limited job relevance,2,0,2
Q25,Three ants are sitting at the corners,Complex probability without practical application,1,0,1
Q26,A biased coin with probability p,Mathematical probability unrelated to role,2,0,2
Q27,Alice and Bob are playing a game,Game theory probability without job context,1,0,1
Q28,Say you have three draws of a uniformly,Statistical distribution relevant to data analysis,3,0,3
Q29,Say you have 150 friends,Combinatorial probability without job relevance,1,0,1
Q30,A fair die is rolled n times,Distribution problem with limited application,2,0,2
Q31,Say you have a jar initially containing,Complex probability without job context,1,0,1
Q32,A fair coin is tossed n times,Basic conditional probability without relevance,1,0,1
Q33,You have N i.i.d. draws of numbers,Statistical inference relevant to data analysis,4,1,6
Q34,You pick three random points,Geometric probability unrelated to role,1,0,1
Q35,You have r red balls and w white balls,Basic probability without job context,1,0,1
Q36,Explain the Central Limit Theorem,Core statistical concept essential for data analysis,4,1,6
Q37,How would you explain a confidence interval,Important statistical communication skill for role,4,1,6
Q38,What are some common pitfalls in A/B testing,Directly relevant to job responsibilities,4,1,6
Q39,Explain both covariance and correlation,Essential statistical concepts for data analysis,4,1,6
Q40,Say you flip a coin 10 times,Hypothesis testing application relevant to role,4,1,6
Q41,Describe hypothesis testing and p-values,Core statistical concept for A/B testing,4,1,6
Q42,Describe what Type I and Type II errors are,Essential for experimental design and analysis,4,1,6
Q43,Explain the statistical background behind power,Critical for A/B test design and analysis,4,1,6
Q44,What is a Z-test and when would you use it,Important statistical testing knowledge for role,4,1,6
Q45,Say you are testing hundreds of hypotheses,Multiple testing considerations crucial for role,4,1,6
Q46,How would you derive a confidence interval,Statistical inference relevant to analysis,4,0,4
Q47,What is the expected number of coin flips,Basic probability without job relevance,1,0,1
Q48,What is the expected number of rolls,Basic probability without job context,1,0,1
Q49,Say you're rolling a fair six-sided die,Basic probability without role relevance,1,0,1
Q50,A coin was flipped 1000 times,Statistical inference and hypothesis testing relevant to role,4,1,6
Q51,"Expected number of days until N(0,1) > 2",Tests fundamental probability theory relevant to data analysis,3,0,3
Q52,Variance of linear combination,Tests basic statistical knowledge needed for data analysis,3,1,5
Q53,Expected value of minimum of uniforms,Demonstrates understanding of probability fundamentals,3,0,3
Q54,Detecting unfair coin,Directly relates to A/B testing and experimental design,4,1,6
Q55,Distinct values in sampling,Relevant to data sampling and analysis methodology,3,0,3
Q56,Noodles and loops probability,Tests probability but not directly relevant to role,2,0,2
Q57,Expected max of dice rolls,Basic probability question with limited relevance,2,0,2
Q58,Uniform distribution parameters,Tests fundamental statistical knowledge needed for analysis,3,1,5
Q59,Expected draws before ace,Basic probability with limited job relevance,2,0,2
Q60,MLE for uniform distribution,Tests statistical modeling relevant to role,4,1,6
Q61,Expected length of increasing sequence,Advanced probability relevant to time series analysis,3,0,3
Q62,Dice game expected values,Basic probability with limited application,2,0,2
Q63,Unbiased vs consistent estimators,Critical statistical concepts for product analytics,4,1,6
Q64,MLE vs MAP explanation,Important for statistical modeling and machine learning,4,1,6
Q65,Generating normal distribution,Relevant to data simulation and testing,3,0,3
Q66,Geometric expectation,Basic probability with limited direct application,2,0,2
Q67,CDF distribution properties,Tests fundamental statistical knowledge,3,0,3
Q68,MGF derivation,Advanced statistics relevant to modeling,3,0,3
Q69,Exponential parameter estimation,Tests statistical modeling capabilities,4,1,6
Q70,Log-normal expectation,Relevant to data analysis and modeling,3,0,3
Q71,Blending means and standard deviations,Directly applicable to data analysis tasks,4,1,6
Q72,Independence vs correlation,Critical for data analysis and modeling,4,1,6
Q73,Covariance calculation,Tests statistical understanding needed for role,3,0,3
Q74,Random sampling from circle,Tests practical implementation skills,3,0,3
Q75,Expected samples until sum exceeds 1,Tests probability and sampling knowledge,3,0,3
Q76,Handling imbalanced datasets,Critical for real-world ML applications,4,1,6
Q77,Error metrics comparison,Essential for model evaluation and selection,4,1,6
Q78,Choosing k in k-means,Important clustering knowledge for user analysis,4,1,6
Q79,Model robustness to outliers,Critical for real-world data analysis,4,1,6
Q80,Handling correlated predictors,Essential for statistical modeling,4,1,6
Q81,Random forests motivation,Core ML concept relevant to role,4,1,6
Q82,Handling missing values,Critical data preprocessing skill,4,1,6
Q83,Improving logistic regression,Shows modeling expertise needed for role,4,1,6
Q84,Impact of duplicated data,Tests understanding of statistical modeling,3,1,5
Q85,Gradient boosting vs random forests,Essential ML knowledge for role,4,1,6
Q86,ETA prediction with limited data,Directly relates to product analytics,4,1,6
Q87,Model interpretation for rejection,Real-world ML application scenario,4,1,6
Q88,Identifying synonyms,Tests NLP and large-scale data processing,3,1,5
Q89,Bias-variance trade-off,Fundamental ML concept required for role,4,1,6
Q90,Cross-validation process,Essential for model validation,4,1,6
Q91,Lead scoring algorithm,Applied ML for business problems,4,1,6
Q92,Music recommendation system,Complex ML system design relevant to role,4,1,6
Q93,Convex functions in ML,Advanced ML theory knowledge,3,1,5
Q94,Information gain in decision trees,Core ML concept needed for role,4,1,6
Q95,L1 vs L2 regularization,Essential ML technique knowledge,4,1,6
Q96,Gradient descent explanation,Fundamental ML optimization knowledge,4,1,6
Q97,ROC curve transformation,Advanced ML evaluation concept,4,1,6
Q98,Gaussian entropy calculation,Advanced statistical concept,3,0,3
Q99,Customer propensity modeling,Applied ML for business problems,4,1,6
Q100,GNB vs logistic regression,Important ML model comparison knowledge,4,1,6
Q101,What loss function is used in k-means clustering given k clusters and n sample points?,Tests technical ML knowledge but not directly relevant to product analytics focus,2,1,4
Q102,Describe the kernel trick in SVMs and give a simple example.,Too theoretical for product-focused role requirements,1,0,1
Q103,Say we have N observations for some variable which we model as being drawn from a Gaussian distribution.,Basic statistics relevant but too theoretical for role's practical needs,2,1,4
Q104,Say we are using a Gaussian mixture model (GMM) for anomaly detection of fraudulent transactions,Demonstrates anomaly detection which could be useful for product analysis,3,1,5
Q105,Walk me through how you'd build a model to predict whether a particular Robinhood user will churn?,Directly tests user behavior modeling capabilities crucial for role,4,1,6
Q106,Suppose you are running a linear regression and model the error terms as being normally distributed.,Too theoretical compared to role's practical analysis needs,2,0,2
Q107,Describe the idea behind Principle Components Analysis (PCA),Relevant for dimensionality reduction in user behavior analysis,3,1,5
Q108,Describe the model formulation behind logistic regression.,Basic ML knowledge relevant but too theoretical for role focus,2,0,2
Q109,How would you approach creating a music recommendation algorithm,Tests practical application of ML for user-facing features,4,1,6
Q110,Derive the variance-covariance matrix of the least squares parameter estimates,Too theoretical for product-focused role,1,0,1
Q111,Assume you have the below events table on app analytics.,Directly tests relevant SQL skills for product analytics,4,1,6
