Question ID,Question Text,Review,Score,Score Binary,Score Combined
Q1,Two teams play a series of games (best of 7),Basic probability question not directly relevant to ML or recommender systems,1,0,1
Q2,Say you roll a die three times,Basic probability concept unrelated to job requirements,1,0,1
Q3,You roll three dice,Elementary probability question not aligned with ML engineering needs,1,0,1
Q4,Assume you have a deck of 100 cards,Basic combinatorics problem unrelated to core job functions,1,0,1
Q5,Imagine you are in a 3D space,Path-finding probability question with minimal relevance to role,1,0,1
Q6,One in a thousand people have a particular disease,Tests Bayes theorem understanding which is relevant for ML but too basic,2,1,4
Q7,Assume two coins,"one fair"", Bayesian probability relevant to ML but too simplified",2,1,4
Q8,Players A and B are playing a game,Basic probability concept unrelated to job requirements,1,0,1
Q9,Three friends in Seattle each told you it is rainy,Bayesian probability relevant to ML but too simplified,2,1,4
Q10,You draw a circle and choose two chords,Geometric probability unrelated to job requirements,1,0,1
Q11,You and your friend are playing a game,Basic probability unrelated to core job functions,1,0,1
Q12,Say you are playing a game where you roll,Expected value calculation unrelated to job requirements,1,0,1
Q13,Facebook has a content team that labels pieces,Tests understanding of classification and labeling relevant to ML,3,1,5
Q14,A couple has two children,Basic probability unrelated to job requirements,1,0,1
Q15,A desk has eight drawers,Conditional probability unrelated to core job functions,1,0,1
Q16,Two players are playing in a tennis match,Markov chain probability but not directly relevant to role,2,1,4
Q17,Say you have a deck of 50 cards,Basic probability unrelated to job requirements,1,0,1
Q18,Suppose you have ten fair dice,Complex probability but not relevant to ML engineering,1,0,1
Q19,A and B play the following game,Expected value calculation unrelated to job requirements,1,0,1
Q20,You are given an unfair coin,Bias correction relevant to ML but too simplified,2,1,4
Q21,Suppose you are given a white cube,Geometric probability unrelated to job requirements,1,0,1
Q22,Assume you take a stick of length 1,Geometric probability unrelated to job requirements,1,0,1
Q23,What is the probability that HHT shows up,Sequential probability unrelated to role,1,1,3
Q24,A fair coin is tossed twice,Conditional probability with minimal ML relevance,1,1,3
Q25,Three ants are sitting at the corners,Complex probability but not relevant to ML role,1,0,1
Q26,A biased coin with probability p,Recurrence relations somewhat relevant to ML algorithms,2,1,4
Q27,Alice and Bob are playing a game,Markov chain probability but not directly relevant,2,0,2
Q28,Say you have three draws of a uniformly,Distribution analysis relevant to ML but basic,2,0,2
Q29,Say you have 150 friends,Combinatorial probability unrelated to job requirements,1,0,1
Q30,A fair die is rolled n times,Distribution analysis somewhat relevant to ML,2,0,2
Q31,Say you have a jar initially containing,Markov process probability but not directly relevant,2,1,4
Q32,A fair coin is tossed n times,Conditional probability with minimal ML relevance,1,0,1
Q33,You have N i.i.d. draws of numbers,Statistical inference relevant to ML applications,3,1,5
Q34,You pick three random points,Geometric probability unrelated to job requirements,1,0,1
Q35,You have r red balls and w white balls,Basic probability unrelated to job requirements,1,0,1
Q36,Explain the Central Limit Theorem,Core statistical concept relevant to ML,3,1,5
Q37,How would you explain a confidence interval,Statistical understanding relevant to experimentation,3,1,5
Q38,What are some common pitfalls encountered in A/B testing,Directly relevant to job requirement of experimentation,4,1,6
Q39,Explain both covariance and correlation,Statistical concepts relevant to ML analysis,3,1,5
Q40,Say you flip a coin 10 times,Basic hypothesis testing relevant to experimentation,3,1,5
Q41,Describe hypothesis testing and p-values,Statistical knowledge crucial for experimentation,4,1,6
Q42,Describe what Type I and Type II errors are,Important for ML model evaluation,4,1,6
Q43,Explain the statistical background behind power,Statistical concept relevant to experimentation,3,1,5
Q44,What is a Z-test and when would you use it,Statistical testing knowledge relevant to role,3,1,5
Q45,Say you are testing hundreds of hypotheses,Multiple testing problem relevant to ML applications,4,1,6
Q46,How would you derive a confidence interval,Statistical inference relevant to ML,3,0,3
Q47,What is the expected number of coin flips,Basic probability unrelated to job requirements,1,0,1
Q48,What is the expected number of rolls,Basic probability unrelated to job requirements,1,0,1
Q49,Say you're rolling a fair six-sided die,Basic probability unrelated to job requirements,1,0,1
Q50,A coin was flipped 1000 times,Basic hypothesis testing relevant to experimentation,3,1,5
Q51,You are drawing from a normally distributed random variable X ~ N(0," 1) once a day..."", Basic probability question with minimal direct relevance to ML engineering role",2,0,2
Q52,Say you have two random variables X and Y," each with a standard deviation..."", Tests fundamental statistical knowledge but not directly related to recommendation systems",2,1,4
Q53,Say we have X ~ Uniform(0," 1) and Y ~ Uniform(0,  1) and the two are independent..."", Basic probability concept without direct application to role requirements",2,0,2
Q54,Say you have an unfair coin which lands on heads 60% of the time...,Related to experimental design but too basic for ML engineering role,2,1,4
Q55,Say you have n numbers 1...n," and you uniformly sample from this distribution..."", Basic sampling concept without direct ML application",2,0,2
Q56,There are 100 noodles in a bowl. At each step," you randomly select two noodle ends..."", Probability puzzle unrelated to job requirements",1,0,1
Q57,What is the expected value of the max of two dice rolls?,Basic probability question not relevant to ML engineering,1,0,1
Q58,Derive the mean and variance of the uniform distribution U(a," b)."", Basic statistical theory without direct ML application",2,0,2
Q59,How many cards would you expect to draw from a standard deck before seeing the first ace?,Probability question unrelated to job requirements,1,0,1
Q60,Say you draw n samples from a uniform distribution U(a," b). What are the MLE estimates..."", Tests statistical inference relevant to ML modeling",3,1,5
Q61,Assume you are drawing from an infinite set of i.i.d random variables...,Tests understanding of probability sequences but not directly relevant,2,0,2
Q62,There are two games involving dice that you can play...,Basic probability question without ML relevance,1,0,1
Q63,What does it mean for an estimator to be unbiased? What about consistent?...,Important statistical concepts relevant to ML model evaluation,3,1,5
Q64,What are MLE and MAP? What is the difference between the two?,Directly relevant to ML model optimization techniques,4,1,6
