Question ID,Question Text,Review,Score,Score Binary,Score Combined
Q1,Two teams play a series of games (best of 7),Limited relevance to role's analytical needs though demonstrates probability understanding,2,0,2
Q2,Say you roll a die three times. What is the probability,Basic probability question without business context,1,0,1
Q3,You roll three dice one after another. What is the probability,Too basic without operational context,1,0,1
Q4,Assume you have a deck of 100 cards,Basic probability without business relevance,1,0,1
Q5,"Imagine you are in a 3D space. From (0,0,0) to (3,3,3)",Tests logical thinking but lacks business context,2,0,2
Q6,One in a thousand people have a particular disease,Good test of conditional probability and business insight,3,1,5
Q7,Assume two coins,"one fair and one unfair"", Tests statistical reasoning but lacks business context",2,0,2
Q8,Players A and B are playing a game where they take turns,Basic probability without operational relevance,1,0,1
Q9,Three friends in Seattle each told you it is rainy,Tests Bayesian thinking applicable to data analysis,3,1,5
Q10,You draw a circle and choose two chords at random,Abstract geometry without business application,1,0,1
Q11,You and your friend are playing a game. The two of you will continue,Basic probability without relevance,1,0,1
Q12,Say you are playing a game where you roll a 6-sided die,Tests expected value but lacks business context,2,0,2
Q13,Facebook has a content team that labels pieces of content,Excellent question testing real Meta operations analytics,4,1,6
Q14,A couple has two children. You discover that one,Basic conditional probability without business relevance,1,0,1
Q15,A desk has eight drawers. There is a probability,Simple conditional probability without business context,1,0,1
Q16,Two players are playing in a tennis match,Basic probability without operational relevance,1,0,1
Q17,Say you have a deck of 50 cards made up of cards,Basic probability calculation without business context,1,0,1
Q18,Suppose you have ten fair dice. If you randomly throw,Complex probability but lacks business application,2,0,2
Q19,A and B play the following game: a number k from 1-6,Game theory without business relevance,1,0,1
Q20,You are given an unfair coin having an unknown bias,Tests practical problem-solving approach,3,0,3
Q21,Suppose you are given a white cube that is broken,Geometric probability without business context,1,0,1
Q22,Assume you take a stick of length 1 and you break it,Abstract geometry without business relevance,1,0,1
Q23,What is the probability that in a random sequence,Basic probability sequence without context,1,0,1
Q24,A fair coin is tossed twice and you are asked,Basic conditional probability without business relevance,1,0,1
Q25,Three ants are sitting at the corners of an equilateral,Abstract probability without business application,1,0,1
Q26,A biased coin with probability p of landing on heads,Mathematical modeling without business context,2,0,2
Q27,Alice and Bob are playing a game together,Game theory probability without business relevance,1,0,1
Q28,Say you have three draws of a uniformly distributed,Statistical distribution knowledge relevant to analysis,3,0,3
Q29,Say you have 150 friends and 3 of them have phone numbers,Basic probability without business context,1,0,1
Q30,A fair die is rolled n times. What is the probability,Basic probability without business application,1,0,1
