Question ID,Question Text,Review,Score,Score Binary,Score Combined
Q1,Two teams play a series of games (best of 7 - whoever wins 4 games first) where each team has 50% chance,Basic probability concept but not directly relevant to fraud detection or ML,2,0,2
Q2,Say you roll a die three times. What is the probability of getting two sixes in a row?,Basic probability without ML or data science application,1,0,1
Q3,You roll three dice,"one after another. What is the probability that you obtain numbers in strictly increasing"", Basic probability without relevant application",1,0,1
Q4,Assume you have a deck of 100 cards with values ranging from 1 to 100 and draw two cards at random,Simple probability calculation not aligned with job requirements,1,0,1
Q5,"Imagine you are in a 3D space. From (0,0,0) to (3,3,3)","how many paths are there"", Tests logical thinking but not relevant to ML or data science tasks",1,0,1
Q6,One in a thousand people have a particular disease,"and the test is 98% correct"", Tests Bayesian probability relevant to ML classification problems",4,1,6
Q7,Assume two coins,"one fair and one unfair, you pick one at random and flip five times"", Tests Bayesian inference applicable to ML models",4,1,6
Q8,Players A and B play game where they take turns flipping biased coin,Basic probability without ML application,2,0,2
Q9,Three friends in Seattle each told you it is rainy,"and each person has 1/3 probability of lying"", Probability with conditional independence relevant to ML",3,1,5
Q10,You draw a circle and choose two chords at random,Geometric probability without relevance to job requirements,1,0,1
Q11,You and friend play game,"toss coin until HH or TH shows up"", Basic probability without ML application",1,0,1
Q12,Playing game where you roll 6-sided die up to two times,Expected value calculation not relevant to job requirements,1,0,1
Q13,Facebook content team labels pieces as spam or not spam,"90% diligent raters"", Tests Bayesian analysis relevant to classification problems",4,1,6
Q14,Couple has two children,"one is boy, probability second is boy"", Basic probability without relevance to job",1,0,1
Q15,Desk has eight drawers,"probability 1/2 letter was placed"", Basic conditional probability not relevant to role",1,0,1
Q16,Tennis match at deuce,"first player 60% chance of winning point"", Probability without ML application",1,0,1
Q17,Deck of 50 cards in 5 colors,"probability two random cards different color and number"", Basic probability calculation not relevant",1,0,1
Q18,Ten fair dice thrown simultaneously,"probability sum divisible by 6"", Complex probability but not relevant to job requirements",2,0,2
Q19,Game where number k chosen from 1-6,"die tossed until k appears"", Expected value without ML relevance",1,0,1
Q20,Unfair coin with unknown bias,"how to generate fair odds"", Probability concept relevant to bias handling in ML",3,1,5
Q21,White cube broken into 27 pieces,"faces painted green"", Geometric probability without job relevance",1,0,1
Q22,Stick of length 1 broken into three parts,Geometric probability without relevance to role,1,0,1
Q23,Random sequence of H's and T's,"HHT before HTT"", Markov chain concept relevant to sequence analysis",3,0,3
Q24,Fair coin tossed twice,"more likely two heads given conditions"", Conditional probability with ML relevance",3,0,3
Q25,Three ants at corners of triangle,"random movement"", Complex probability without job relevance",1,0,1
Q26,Biased coin tossed n times,"recurrence relation for even heads"", Mathematical modeling relevant to ML",3,1,5
Q27,Alice and Bob playing game series until two more wins,Probability without ML application,1,0,1
Q28,Three draws of uniform random variable,"median greater than 1.5"", Statistical analysis relevant to data science",3,1,5
Q29,150 friends,"3 have specific digit patterns"", Basic probability without job relevance",1,0,1
Q30,Fair die rolled n times,"probability largest number is r"", Distribution analysis relevant to ML",3,0,3
Q31,Jar with amoeba,"probability of extinction"", Markov process relevant to sequential analysis",3,0,3
Q32,Fair coin n tosses,"k heads, probability first was heads"", Conditional probability relevant to ML",3,1,5
Q33,N i.i.d. draws from normal distribution,Statistical inference crucial for ML,4,1,6
Q34,Three random points on circle form triangle,Geometric probability without relevance,1,0,1
Q35,Red and white balls in bag,"probability of one color remaining"", Random process without ML relevance",1,0,1
Q36,Explain Central Limit Theorem,Core statistical concept essential for ML,4,1,6
Q37,Explain confidence interval to non-technical audience,Tests communication of technical concepts,4,1,6
Q38,Common pitfalls in A/B testing,Directly relevant to experimentation and analysis,4,1,6
Q39,Explain covariance and correlation,Core statistical concepts needed for ML,4,1,6
Q40,Coin flip 10 times,"one heads, hypothesis testing"", Statistical testing crucial for analysis",4,1,6
Q41,Describe hypothesis testing and p-values,Fundamental statistical concept for analysis,4,1,6
Q42,Describe Type I and Type II errors,Essential for ML model evaluation,4,1,6
Q43,Explain statistical power,Critical for experimental design and testing,4,1,6
Q44,Z-test versus t-test usage,Statistical testing knowledge essential for role,4,1,6
Q45,Testing hundreds of hypotheses considerations,Multiple testing relevant to ML applications,4,1,6
Q46,Derive confidence interval for probability,Statistical inference relevant to ML,4,0,4
Q47,Expected flips for two consecutive heads,Basic probability without ML relevance,1,0,1
Q48,Expected rolls to see all die sides,Basic probability without ML relevance,1,0,1
Q49,Expected rolls for two consecutive 5s,Basic probability without ML relevance,1,0,1
Q50,1000 coin flips,"550 heads, bias analysis"", Statistical inference and hypothesis testing",4,1,6
Q51,"Expected number of days until N(0,1) > 2",Tests fundamental statistical knowledge relevant for ML models,3,0,3
Q52,Variance of aX + bY with standard deviations,Basic statistical concept needed for ML modeling,3,1,5
Q53,Expected value of minimum of uniform distributions,Demonstrates statistical understanding for model development,3,0,3
Q54,Detecting unfair coin probability,Shows hypothesis testing knowledge needed for fraud detection,4,1,6
Q55,Expected distinct values in uniform sampling,Tests probability understanding for ML applications,3,0,3
Q56,Expected loops in noodle problem,Too abstract and not directly relevant to job requirements,1,0,1
Q57,Expected value of max dice rolls,Too basic and not relevant to job requirements,1,0,1
Q58,Mean and variance of uniform distribution,Fundamental statistical knowledge needed for modeling,3,1,5
Q59,Expected draws before first ace,Too basic and not relevant to job requirements,1,0,1
Q60,MLE estimates for uniform distribution,Demonstrates understanding of statistical estimation,4,1,6
Q61,Expected length of monotonic sequence,Tests advanced probability concepts,3,0,3
Q62,Dice game expected value comparison,Not directly relevant to job requirements,1,0,1
Q63,Unbiased vs consistent estimators,Important statistical concepts for ML model evaluation,4,1,6
Q64,MLE vs MAP difference,Critical for machine learning model development,4,1,6
Q65,Generating normal distribution from Bernoulli,Shows understanding of probability transformations,3,0,3
Q66,Geometric distribution expectation,Basic probability concept needed for modeling,3,0,3
Q67,Distribution of CDF transformation,Advanced probability concept relevant for ML,3,0,3
Q68,Moment generating function for normal distribution,Advanced statistical concept for ML modeling,4,0,4
Q69,Estimator for exponential distribution,Shows understanding of statistical estimation,3,0,3
Q70,Expectation of lognormal distribution,Tests understanding of probability distributions,3,0,3
Q71,Blended mean and standard deviation calculation,Relevant for data analysis and model development,4,1,6
Q72,Independence vs correlation,Essential statistical concept for ML modeling,4,1,6
