Question ID,Question Text,Review,Score,Score Binary,Score Combined
Q1,Two teams play a series of games (best of 7),Directly tests advanced probability analysis abilities required for product analytics,4,1,6
Q2,Say you roll a die three times,Tests basic probability concepts but too simple for senior role requirements,2,0,2
Q3,You roll three dice one after another,Basic probability question lacking product analytics context,2,0,2
Q4,Assume you have a deck of 100 cards,Tests combinatorial probability but lacks business context,2,0,2
Q5,Imagine you are in a 3D space,Tests spatial probability but not directly relevant to role requirements,2,0,2
Q6,One in a thousand people have a particular disease,Tests Bayesian probability relevant for product analytics decisions,4,1,6
Q7,Assume two coins one fair and one unfair,Advanced probability reasoning aligned with data analysis needs,3,1,5
Q8,Players A and B are playing a game,Tests probability concepts relevant to sequential analysis,3,0,3
Q9,Three friends in Seattle each told you it is rainy,Tests Bayesian probability with practical application,3,1,5
Q10,You draw a circle and choose two chords,Geometric probability lacks relevance to job requirements,1,0,1
Q11,You and your friend are playing a game,Tests Markov chain concepts relevant to data analysis,3,0,3
Q12,Say you are playing a game where you roll,Tests expected value concepts useful in product analytics,3,0,3
Q13,Facebook has a content team,Directly relevant to product analytics and business decisions,4,1,6
Q14,A couple has two children,Basic conditional probability lacks business context,2,0,2
Q15,A desk has eight drawers,Tests Bayesian updating relevant to data analysis,3,0,3
Q16,Two players are playing in a tennis match,Tests Markov chain concepts with practical application,3,0,3
Q17,Say you have a deck of 50 cards,Tests combinatorial probability without business context,2,0,2
Q18,Suppose you have ten fair dice,Complex probability but lacks business relevance,2,0,2
Q19,A and B play the following game,Tests expected value relevant to business decisions,3,0,3
Q20,You are given an unfair coin,Tests practical problem-solving in uncertain conditions,3,1,5
Q21,Suppose you are given a white cube,Geometric probability lacks business relevance,1,0,1
Q22,Assume you take a stick of length 1,Geometric probability not relevant to role,1,0,1
Q23,What is the probability that in a random sequence,Tests Markov chain concepts relevant to analysis,3,0,3
Q24,A fair coin is tossed twice,Tests conditional probability with analytical reasoning,3,0,3
Q25,Three ants are sitting at the corners,Geometric probability lacks business relevance,1,0,1
Q26,A biased coin with probability p,Tests advanced probability modeling relevant to role,4,1,6
Q27,Alice and Bob are playing a game,Tests Markov chains relevant to product analysis,3,0,3
Q28,Say you have three draws of a uniformly distributed,Tests statistical concepts relevant to data analysis,4,1,6
Q29,Say you have 150 friends,Tests combinatorial probability without business context,2,0,2
Q30,A fair die is rolled n times,Tests order statistics relevant to data analysis,3,0,3
Q31,Say you have a jar initially containing,Tests complex probability modeling relevant to growth analysis,4,0,4
Q32,A fair coin is tossed n times,Tests conditional probability relevant to data analysis,3,1,5
Q33,You have N i.i.d. draws of numbers,Tests statistical distributions relevant to role,4,1,6
Q34,You pick three random points,Geometric probability lacks business relevance,1,0,1
Q35,You have r red balls and w white balls,Tests probability concepts relevant to sampling,3,0,3
Q36,Explain the Central Limit Theorem,Core statistical concept essential for data analysis role,4,1,6
Q37,How would you explain a confidence interval,Tests ability to communicate technical concepts,4,1,6
Q38,What are some common pitfalls encountered in A/B testing,Directly relevant to product analytics role,4,1,6
Q39,Explain both covariance and correlation,Essential statistical concepts for data analysis,4,1,6
Q40,Say you flip a coin 10 times,Tests hypothesis testing knowledge crucial for role,4,1,6
Q41,Describe hypothesis testing and p-values,Tests ability to explain technical concepts,4,1,6
Q42,Describe what Type I and Type II errors are,Essential statistical testing concepts for role,4,1,6
Q43,Explain the statistical background behind power,Core concept for experimental design,4,1,6
Q44,What is a Z-test and when would you use it,Tests statistical testing knowledge essential for role,4,1,6
Q45,Say you are testing hundreds of hypotheses,Tests multiple testing considerations crucial for analysis,4,1,6
Q46,How would you derive a confidence interval,Tests statistical inference knowledge required for role,4,1,6
Q47,What is the expected number of coin flips,Tests probability concepts relevant to analysis,3,0,3
Q48,What is the expected number of rolls,Tests expected value concepts without business context,2,0,2
Q49,Say you're rolling a fair six-sided die,Tests expected value without business relevance,2,0,2
Q50,A coin was flipped 1000 times,Tests practical statistical inference abilities,4,1,6
Q51,You are drawing from a normally distributed random variable X ~ N(0," 1) once a day. What is the approximate expec"", ""Tests fundamental probability and statistics knowledge,  relevant for data analysis role""",3,0,3
Q52,Say you have two random variables X and Y each with a standard deviation. What is the variance of aX + bY,"""Core statistical concept testing,  essential for data analysis and modeling""",4,1,6
Q53,Say we have X ~ Uniform(0," 1) and Y ~ Uniform(0,  1) and the two are independent. What is the expected val"", ""Tests probability theory understanding,  relevant for data modeling""",3,0,3
Q54,Say you have an unfair coin which lands on heads 60% of the time. How many coin flips are needed,"""Tests statistical inference and hypothesis testing,  key for data analysis""",4,1,6
Q55,Say you have n numbers 1...n and you uniformly sample from this distribution with replacement n times,"""Tests probability and sampling concepts,  relevant for data analysis""",3,0,3
Q56,There are 100 noodles in a bowl. At each step you randomly select two noodle ends,"""Creative probability problem but less directly relevant to job requirements""",2,0,2
Q57,What is the expected value of the max of two dice rolls?,"""Basic probability concept but too elementary for senior role""",2,0,2
Q58,Derive the mean and variance of the uniform distribution U(a b),"""Tests statistical theory knowledge,  relevant for data modeling""",3,1,5
Q59,How many cards would you expect to draw from a standard deck before seeing the first ace?,"""Basic probability concept,  not specifically relevant to role""",2,0,2
Q60,Say you draw n samples from a uniform distribution U(a b). What are the MLE estimates of a and b?,"""Tests advanced statistical inference,  highly relevant for role""",4,1,6
Q61,Assume you are drawing from an infinite set of i.i.d random variables that are uniformly distributed,"""Tests advanced probability concepts,  relevant for analytics role""",3,0,3
Q62,There are two games involving dice that you can play. In the first game you roll two dice,"""Basic probability problem,  not complex enough for position level""",2,0,2
Q63,What does it mean for an estimator to be unbiased? What about consistent?,"""Tests fundamental statistical theory,  essential for role""",4,1,6
Q64,What are MLE and MAP? What is the difference between the two?,"""Tests advanced statistical concepts,  crucial for modeling""",4,1,6
Q65,Say you are given a random Bernoulli trial generator. How would you generate values,"""Tests practical implementation of statistical concepts""",4,0,4
Q66,Derive the expectation for a geometric random variable,"""Tests probability theory knowledge,  relevant for analysis""",3,0,3
Q67,Say we have a random variable X ~ D where D is an arbitrary distribution,"""Tests advanced statistical theory,  important for modeling""",4,0,4
Q68,Describe what a moment generating function (MGF) is. Derive the MGF for a normally distributed,"""Tests advanced statistical theory,  relevant for analysis""",4,0,4
Q69,Say you have N independent and identically distributed draws of an exponential random variable,"""Tests statistical inference,  relevant for data analysis""",4,0,4
Q70,Assume that log X ~ N(0 1). What is the expectation of X?,"""Tests probability transformations,  relevant for modeling""",3,0,3
Q71,Say you have two distinct subsets of a dataset for which you know their means and standard deviations,"""Highly relevant for practical data analysis and reporting""",4,1,6
Q72,Say we have two random variables X and Y. What does it mean for X and Y to be independent?,"""Tests fundamental statistical concepts,  essential for role""",4,1,6
Q73,Say we have X ~ Uniform(-1 1) and Y = X^2. What is the covariance of X and Y?,"""Tests statistical relationships,  relevant for analysis""",3,0,3
Q74,How do you uniformly sample points at random from a circle with radius R?,"""Tests practical sampling knowledge,  relevant for role""",3,0,3
Q75,Say you continually sample from some i.i.d. uniformly distributed (0 1) random variables,"""Tests advanced probability concepts,  relevant for role""",3,0,3
Q76,Say you are building a binary classifier for an unbalanced dataset,"""Tests practical ML knowledge,  highly relevant for role""",4,1,6
Q77,What are some differences you would expect in a model that minimizes squared error versus absolute error,"""Tests ML model understanding,  essential for role""",4,1,6
Q78,When performing K-means clustering how do you choose k?,"""Tests practical ML implementation knowledge""",4,1,6
Q79,How can you make your models more robust to outliers?,"""Tests practical modeling expertise,  relevant for role""",4,1,6
Q80,Say that you are running a multiple linear regression and that you have reason to believe,"""Tests regression analysis knowledge,  crucial for role""",4,0,4
Q81,Describe the motivation behind random forests. What are two ways in which they improve,"""Tests ML algorithm knowledge,  essential for role""",4,1,6
Q82,Given a large dataset of payment transactions say we want to predict the likelihood,"""Tests practical data handling and modeling skills""",4,0,4
Q83,Say you are running a simple logistic regression to solve a problem but find the results,"""Tests model improvement knowledge,  relevant for role""",4,0,4
Q84,Say you were running a linear regression for a dataset but you accidentally duplicated,"""Tests understanding of regression properties""",3,0,3
Q85,Compare and contrast gradient boosting and random forests,"""Tests ML algorithm knowledge,  essential for role""",4,0,4
Q86,Say that DoorDash is launching in Singapore. For this new market you want to predict,"""Tests practical ML implementation and business understanding""",4,0,4
Q87,Say we are running a binary classification loan model and rejected applicants must,"""Tests practical ML implementation and communication""",4,0,4
Q88,Say you are given a very large corpus of words. How would you identify synonyms?,"""Tests NLP knowledge,  relevant for data science role""",3,0,3
Q89,What is the bias-variance trade-off? How is it expressed using an equation?,"""Tests fundamental ML concepts,  essential for role""",4,1,6
Q90,Define the cross-validation process.What is the motivation behind using it?,"""Tests ML validation knowledge,  crucial for role""",4,1,6
Q91,How would you build a lead scoring algorithm to predict whether a prospective company,"""Tests practical ML application and business understanding""",4,0,4
Q92,How would you approach creating a music recommendation algorithm?,"""Tests recommendation systems knowledge,  relevant for role""",3,0,3
Q93,Define what it means for a function to be convex. What is an example of a machine learning,"""Tests optimization theory,  relevant for ML implementation""",4,0,4
